Precon,ID,atan.XY,degree.XY
f2,b2c5a1,n/a,n/a
f2,b2c5a1,n/a,n/a
f2,b2c5a1,n/a,n/a
f2,b2c5a1,n/a,n/a
f2,b2c5a1,n/a,n/a
f2,b2c5a1,n/a,n/a
f2,b2c5a1,n/a,n/a
f2,b2c5a1,n/a,n/a
f2,b2c5a1,n/a,n/a
f2,b2c5a1,n/a,n/a
f2,b2c5a1,n/a,n/a
f2,b2c5a1,n/a,n/a
f2,b2c5a1,n/a,n/a
f2,b2c5a1,n/a,n/a
f2,b2c5a1,n/a,n/a
f2,b2c5a1,n/a,n/a
f2,b2c5a1,n/a,n/a
f2,b2c5a1,n/a,n/a
f2,b2c5a1,n/a,n/a
f2,b2c5a1,n/a,n/a
f2,b2c5a1,n/a,n/a
f2,b2c5a1,n/a,n/a
f2,b2c5a1,n/a,n/a
f2,b2c5a1,n/a,n/a
f2,b2c5a1,n/a,n/a
f2,b2c5a1,n/a,n/a
f2,b2c5a1,n/a,n/a
f2,b2c5a1,n/a,n/a
f2,b2c5a1,n/a,n/a
f2,b2c5a1,n/a,n/a
f2,b2c5a1,n/a,n/a
f2,b2c5a1,n/a,n/a
f2,b2c5a1,n/a,n/a
f2,b2c5a1,n/a,n/a
f2,b2c5a1,n/a,n/a
f2,b2c5a1,n/a,n/a
f2,b2c5a1,n/a,n/a
f2,b2c5a1,n/a,n/a
f2,b2c5a1,n/a,n/a
f2,b2c5a1,n/a,n/a
f2,b2c5a2,-1.11,-63.42
f2,b2c5a2,-0.79,-44.99
f2,b2c5a2,-0.64,-36.87
f2,b2c5a2,-0.46,-26.57
f2,b2c5a2,0.00,0.00
f2,b2c5a2,0.00,0.00
f2,b2c5a2,0.00,0.00
f2,b2c5a2,0.00,0.00
f2,b2c5a2,0.00,0.00
f2,b2c5a2,0.46,26.57
f2,b2c5a2,0.50,28.81
f2,b2c5a2,0.69,39.80
f2,b2c5a2,n/a,n/a
f2,b2c5a2,n/a,n/a
f2,b2c5a2,n/a,n/a
f2,b2c5a2,n/a,n/a
f2,b2c5a2,n/a,n/a
f2,b2c5a2,n/a,n/a
f2,b2c5a2,n/a,n/a
f2,b2c5a2,n/a,n/a
f2,b2c5a2,n/a,n/a
f2,b2c5a2,n/a,n/a
f2,b2c5a2,n/a,n/a
f2,b2c5a2,n/a,n/a
f2,b2c5a2,n/a,n/a
f2,b2c5a2,n/a,n/a
f2,b2c5a2,n/a,n/a
f2,b2c5a2,n/a,n/a
f2,b2c5a2,n/a,n/a
f2,b2c5a2,n/a,n/a
f2,b2c5a2,n/a,n/a
f2,b2c5a2,n/a,n/a
f2,b2c5a2,n/a,n/a
f2,b2c6a1,-1.25,-71.56
f2,b2c6a1,-1.11,-63.43
f2,b2c6a1,-0.79,-45.00
f2,b2c6a1,0.00,0.00
f2,b2c6a1,0.00,0.00
f2,b2c6a1,0.00,0.00
